"","CTCF","NR3C1","USF1","ESR1","FOXA1","ATF3","BATF","BCL11A","BCL3","BCLAF1","EBF1","EGR1","ELF1","ETS1","IRF4","MEF2A","MEF2C","REST","POU2F2","EP300","PAX5","PBX3","SPI1","RAD21","RXRA","SIN3A","SIX5","SP1","SRF","TAF1"
"A2M",0,0,0,0,0.047550439364467,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.120946781956713,0,0,0,0,0,0,0,0,0,0
"AAAS",0.095409802567459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AADAT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.585158124913789,0,0,0,0,0,0
"AAGAB",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AAK1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AAMP",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0365087671840859,0,0,0,0,0.0504249876624099,0,0,0
"AARS2",0.139014373930818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AARS",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0495892779842603,0,0,0,0,0,0,0,0
"AATF",0,0,0,0,0,0,0,0,0,0,0,0,0.212489944373045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ABAT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ABCA10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ABCA2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ABCA3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ABCA5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ABCA7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ABCB10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ABCB6",0,0,0.293039799424621,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0134863544876151
"ABCB8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0220187126642824,0,0
"ABCC11",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ABCC2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.367939424071778,0,0,0,0,0,0,0,0,0,0
"ABCC3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ABCC5",0,0,0,0.0748098409087513,0.0327236621380472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14619689417369,0,0,0,0,0,0,0,0,0,0
"ABCD2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.357767100898537,0.859464721098303,0,0,0,0,0,0,0,0,0,0,0,0,0
"ABCD3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ABCE1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ABCF1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ABCF2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0073432235605288,0,0,0
"ABCF3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ABCG1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ABHD10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ABHD11",0,0,0,0.0595357276322381,0.0901814171177562,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12907535756873,0,0,0,0,0,0,0,0,0,0
"ABHD12B",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ABHD14B",0.490858560489326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ABHD2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.105136776370854,0,0,0,0,0,0.0765179749219124,0,0
"ABHD4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.126400954349547,0,0,0,0
"ABHD5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ABI2",0,0,0,0,0,0,0,0,0,0,0,0.0225348577160259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ABI3",0,0,0,0,0,0,0,0,0,0,0.275774301173524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ABL1",0,0,0,0,0,0.0182184118506568,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0942136248907233,0,0,0,0.0231165227895984,0,0,0,0,0,0
"ABL2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ABLIM1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ABLIM3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0269952784490285,0,0,0,0,0,0,0,0,0
"ABR",0.288242102511231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ABT1",0,0,0,0,0,0.00772150051580734,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0549357172547166,0,0,0,0,0,0,0,0,0,0
"ABTB2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.297309028868568,0,0,0,0,0,0
"ACAA1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0442128927362566,0,0,0,0,0,0,0
"ACACA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ACAD10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ACAD8",0,0,0,0,0.0140454801328557,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ACAD9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
